time,open,high,low,close,vwap,volume,count
2025-12-12 18:15:00,132.5,132.6,132.48,132.6,132.48,372.96421609,9
2025-12-12 18:16:00,132.59,132.97,132.59,132.78,132.95,409.03595989,25
2025-12-12 18:17:00,132.89,132.92,132.44,132.44,132.7,214.59917982,28
2025-12-12 18:18:00,132.39,132.51,132.39,132.39,132.42,330.89523974,25
2025-12-12 18:19:00,132.3,132.3,132.12,132.12,132.25,7.58561427,12
2025-12-12 18:20:00,132.11,132.11,131.8,131.8,131.92,237.91696725,29
2025-12-12 18:21:00,131.8,131.8,131.71,131.77,131.76,281.78441386,27
2025-12-12 18:22:00,131.7,131.7,131.52,131.59,131.68,430.73924504,15
2025-12-12 18:23:00,131.59,131.78,131.59,131.67,131.62,10.60661232,20
2025-12-12 18:24:00,131.7,131.79,131.67,131.79,131.75,43.14240783,16
2025-12-12 18:25:00,131.8,131.94,131.8,131.94,131.91,0.78356153,5
2025-12-12 18:26:00,131.97,132.23,131.97,132.13,132.1,212.55017999,29
2025-12-12 18:27:00,132.12,132.33,132.1,132.29,132.24,393.57102816,22
2025-12-12 18:28:00,132.34,132.53,132.32,132.43,132.47,85.49672111,21
2025-12-12 18:29:00,132.44,132.44,132.4,132.4,132.4,26.26535767,7
2025-12-12 18:30:00,132.42,132.47,132.38,132.46,132.39,101.25081587,14
2025-12-12 18:31:00,132.45,132.6,132.39,132.6,132.43,772.98620708,18
2025-12-12 18:32:00,132.59,132.59,132.49,132.52,132.5,684.58984867,19
2025-12-12 18:33:00,132.52,132.65,132.51,132.58,132.56,229.72443183,12
2025-12-12 18:34:00,132.58,132.74,132.58,132.7,132.66,46.18115779,20
2025-12-12 18:35:00,132.72,132.76,132.69,132.7,132.7,81.01421535,7
2025-12-12 18:36:00,132.72,132.72,132.7,132.7,132.71,48.87637662,6
2025-12-12 18:37:00,132.7,132.86,132.7,132.85,132.73,458.71756544,15
2025-12-12 18:38:00,132.84,132.92,132.84,132.92,132.84,0.95353903,6
2025-12-12 18:39:00,132.93,132.97,132.86,132.97,132.92,71.4931033,11
2025-12-12 18:40:00,132.98,133.08,132.94,132.94,133.01,416.96538548,31
2025-12-12 18:41:00,132.93,133.0,132.85,132.97,132.96,2664.2913612,43
2025-12-12 18:42:00,133.05,133.24,133.05,133.19,133.22,415.43782129,28
