Ticker,Date,Open,High,Low,Close,Volume
QGMD,2022-08-16,1.7300,1.8150,1.7290,1.7620,2524418
QGMD,2022-08-17,1.7650,1.8050,1.7610,1.7780,2676674
QGMD,2022-08-18,1.7750,1.7750,1.7230,1.7540,2347825
QGMD,2022-08-21,1.7540,1.7850,1.7410,1.7550,1811031
QGMD,2022-08-22,1.7550,1.8990,1.7200,1.8520,18788588
QGMD,2022-08-23,1.8390,1.8700,1.8000,1.8150,4645617
QGMD,2022-08-24,1.8320,1.8770,1.8060,1.8680,11178610
QGMD,2022-08-25,1.9000,1.9260,1.8800,1.9120,8925317
QGMD,2022-08-28,1.8800,1.9110,1.8520,1.9100,4805656
QGMD,2022-08-29,1.9630,2.1010,1.9630,2.1010,26488932
QGMD,2022-08-30,2.1250,2.1490,2.0700,2.0960,19056644
QGMD,2022-08-31,2.0830,2.1030,2.0480,2.0600,3419706
QGMD,2022-09-01,2.0450,2.0680,2.0360,2.0400,4929268
QGMD,2022-09-04,2.0360,2.1410,1.9900,2.1210,13802537
QGMD,2022-09-05,2.1350,2.1400,2.1050,2.1320,5801442
QGMD,2022-09-06,2.1450,2.1980,2.1160,2.1800,8816022
QGMD,2022-09-07,2.1620,2.1920,2.0210,2.0500,7438455
QGMD,2022-09-08,2.0970,2.0970,2.0200,2.0500,3798623
QGMD,2022-09-11,2.0770,2.0800,2.0310,2.0330,2193743
QGMD,2022-09-12,2.0330,2.1610,1.9980,2.1500,20216556
QGMD,2022-09-13,2.1810,2.1840,2.1300,2.1370,4310542
QGMD,2022-09-14,2.0800,2.0800,2.0200,2.0650,2364142
QGMD,2022-09-15,2.0840,2.1060,2.0660,2.0880,2142384
QGMD,2022-09-18,2.0800,2.0800,2.0230,2.0300,2358667
QGMD,2022-09-19,2.0280,2.0280,1.9110,1.9230,6857476
QGMD,2022-09-20,1.9400,1.9810,1.9350,1.9350,5801758
QGMD,2022-09-21,1.9130,1.9320,1.8870,1.8920,5185914
QGMD,2022-09-22,1.8870,1.9180,1.8320,1.9100,5642508
QGMD,2022-09-25,1.8850,1.8850,1.8160,1.8300,4246474
QGMD,2022-09-26,1.8200,1.8700,1.8060,1.8250,1686142
QGMD,2022-09-27,1.8250,1.9200,1.8130,1.8500,2976872
QGMD,2022-09-28,1.8560,1.8990,1.8560,1.8790,2902777
QGMD,2022-09-29,1.8990,1.9370,1.8460,1.8550,6610945
QGMD,2022-10-02,1.8550,1.8700,1.8220,1.8580,2435124
QGMD,2022-10-03,1.8580,1.9290,1.8580,1.8850,4783860
QGMD,2022-10-04,1.9400,1.9400,1.9000,1.9230,4475480
QGMD,2022-10-05,1.9600,1.9900,1.9240,1.9240,5259366
QGMD,2022-10-06,1.9230,1.9490,1.9080,1.9080,1960549
QGMD,2022-10-09,1.9000,1.9090,1.8780,1.8810,2373842
QGMD,2022-10-10,1.8800,1.9140,1.8730,1.9090,1768091
QGMD,2022-10-11,1.9100,1.9270,1.8740,1.8830,1223183
QGMD,2022-10-12,1.8830,1.8920,1.8450,1.8500,5682945
QGMD,2022-10-13,1.8500,1.8800,1.8210,1.8540,6244937
QGMD,2022-10-16,1.8650,1.8650,1.8300,1.8300,876662
QGMD,2022-10-17,1.8250,1.8610,1.8200,1.8470,1283223
QGMD,2022-10-18,1.8580,1.8670,1.8260,1.8340,1774530
QGMD,2022-10-19,1.8340,1.8340,1.7930,1.7930,3634893
QGMD,2022-10-20,1.7900,1.8000,1.7580,1.7790,1728202
QGMD,2022-10-23,1.7620,1.7940,1.6810,1.6810,7200541
QGMD,2022-10-24,1.6780,1.6780,1.6300,1.6640,4308143
QGMD,2022-10-25,1.6500,1.6750,1.5610,1.5640,4253430
QGMD,2022-10-26,1.5640,1.5950,1.5050,1.5270,1450114
QGMD,2022-10-27,1.5260,1.5650,1.4960,1.5220,3191523
QGMD,2022-10-30,1.5560,1.5580,1.5000,1.5150,2915124
QGMD,2022-10-31,1.5130,1.5130,1.4660,1.4850,3713879
QGMD,2022-11-01,1.4870,1.5400,1.4850,1.5020,9150755
QGMD,2022-11-02,1.5190,1.5190,1.4570,1.4570,2176756
QGMD,2022-11-03,1.4500,1.4770,1.4000,1.4750,4677836
QGMD,2022-11-06,1.5000,1.5170,1.4610,1.4880,3146401
QGMD,2022-11-07,1.4730,1.4780,1.4510,1.4740,3698856
QGMD,2022-11-08,1.4740,1.5050,1.4530,1.4850,6316865
QGMD,2022-11-09,1.4890,1.5040,1.4500,1.4570,4382753
QGMD,2022-11-10,1.4570,1.4570,1.4200,1.4250,4427000
QGMD,2022-11-13,1.4380,1.4680,1.4270,1.4380,3433595
QGMD,2022-11-14,1.4320,1.4500,1.4250,1.4300,2186331
QGMD,2022-11-15,1.4300,1.4310,1.4000,1.4000,2305047
QGMD,2022-11-16,1.4010,1.4050,1.3570,1.3660,3172128
QGMD,2022-11-17,1.3660,1.3660,1.3080,1.3190,4168162
QGMD,2022-11-20,1.3160,1.3330,1.2940,1.3020,2903785
QGMD,2022-11-21,1.3050,1.3050,1.2550,1.2650,3906675
QGMD,2022-11-22,1.2610,1.2700,1.2000,1.2380,3798548
QGMD,2022-11-23,1.2400,1.3290,1.2260,1.2700,6964862
QGMD,2022-11-24,1.2610,1.3000,1.2580,1.2740,3679334
QGMD,2022-11-27,1.2590,1.2950,1.2590,1.2700,3816267
QGMD,2022-11-28,1.2700,1.2740,1.2270,1.2600,3003037
QGMD,2022-11-29,1.2500,1.2850,1.2500,1.2850,3528480
QGMD,2022-11-30,1.2880,1.4130,1.2880,1.4100,14952429
QGMD,2022-12-01,1.4220,1.4390,1.3900,1.3950,8799249
QGMD,2022-12-04,1.3790,1.4600,1.3790,1.4250,5844102
QGMD,2022-12-05,1.4300,1.4600,1.4000,1.4150,3667404
QGMD,2022-12-06,1.3980,1.4150,1.3810,1.3850,2426940
QGMD,2022-12-07,1.3730,1.3850,1.3620,1.3620,1937930
QGMD,2022-12-08,1.3950,1.3950,1.3600,1.3610,1298923
QGMD,2022-12-11,1.3610,1.3630,1.3290,1.3320,1940519
QGMD,2022-12-12,1.3270,1.3440,1.2910,1.2930,2606243
QGMD,2022-12-13,1.2910,1.3100,1.2750,1.2970,2799148
QGMD,2022-12-14,1.2840,1.3210,1.2700,1.2800,2154110
QGMD,2022-12-15,1.2620,1.2760,1.2400,1.2500,2945424
QGMD,2022-12-19,1.2870,1.2870,1.2270,1.2410,1066564
QGMD,2022-12-20,1.2410,1.2410,1.2190,1.2260,2830135
QGMD,2022-12-21,1.2260,1.2550,1.2230,1.2550,2990123
QGMD,2022-12-22,1.2600,1.3070,1.2590,1.3000,3743103
QGMD,2022-12-25,1.3010,1.4000,1.2730,1.3670,6012286
QGMD,2022-12-26,1.3690,1.3920,1.3010,1.3010,1700427
QGMD,2022-12-27,1.3010,1.3150,1.2820,1.3100,1571155
QGMD,2022-12-28,1.2720,1.3180,1.2720,1.2930,663682
QGMD,2022-12-29,1.2850,1.3130,1.2570,1.2570,2118116
QGMD,2023-01-02,1.2520,1.2800,1.2320,1.2760,2764322
QGMD,2023-01-03,1.2820,1.3280,1.2780,1.2880,6447991
QGMD,2023-01-04,1.3040,1.3120,1.2660,1.2660,7264379
QGMD,2023-01-05,1.2700,1.3040,1.2510,1.2900,5038973
QGMD,2023-01-08,1.3210,1.3400,1.2940,1.3250,4914191
QGMD,2023-01-09,1.3260,1.3500,1.3130,1.3180,3503588
